"","SG_PARTIDO","DT_PAGAMENTO","VR_PAGAMENTO"
"319","MDB","14/09/2018",4428
"320","MDB","14/11/2018",5803
"321","MDB","14/12/2018",2769
"322","MDB","15/01/2018",6302
"323","MDB","15/02/2018",2769
"324","MDB","15/03/2018",6530
"325","MDB","15/05/2018",2982
"326","MDB","15/06/2018",3744
"327","MDB","15/07/2018",2752
"328","MDB","15/08/2018",7668
"329","MDB","15/10/2018",4254
"330","MDB","16/01/2018",2766
"331","MDB","16/02/2018",3069
"332","MDB","16/03/2018",7697
"333","MDB","16/04/2018",2492
"334","MDB","16/05/2018",2516
"335","MDB","16/07/2018",9429
"336","MDB","16/08/2018",4464
"337","MDB","16/09/2018",1181
"338","MDB","16/10/2018",3447
"339","MDB","17/03/2018",2790
"340","MDB","17/04/2018",934
"341","MDB","17/05/2018",3397
"342","MDB","17/07/2018",5757
"343","MDB","17/08/2018",7478
"344","MDB","17/09/2018",2610
"345","MDB","17/10/2018",5808
"346","MDB","17/12/2018",934
"347","MDB","18/01/2018",1837
"348","MDB","18/04/2018",1414
"349","MDB","18/05/2018",6282
"350","MDB","18/06/2018",2551
"351","MDB","18/07/2018",9175
"352","MDB","18/08/2018",5962
"353","MDB","18/09/2018",5012
"354","MDB","18/10/2018",3115
"355","MDB","18/12/2018",2114
"356","MDB","19/01/2018",636
"357","MDB","19/02/2018",11869
"358","MDB","19/03/2018",8410
"359","MDB","19/04/2018",933
"360","MDB","19/06/2018",3600
"361","MDB","19/07/2018",933
"362","MDB","19/09/2018",4244
"363","MDB","19/10/2018",3993
"364","MDB","19/11/2018",1974
"365","MDB","19/12/2018",2603
"366","MDB","20/02/2018",2630
"367","MDB","20/03/2018",4363
"368","MDB","20/04/2018",5999
"369","MDB","20/06/2018",6579
"370","MDB","20/07/2018",8037
"371","MDB","20/08/2018",2660
"372","MDB","20/09/2018",9359
"373","MDB","20/11/2018",9574
"374","MDB","20/12/2018",6162
"375","MDB","21/03/2018",3447
"376","MDB","21/05/2018",1173
"377","MDB","21/06/2018",12047
"378","MDB","21/08/2018",12194
"379","MDB","21/09/2018",6477
"380","MDB","21/11/2018",3315
"381","MDB","21/12/2018",1835
"382","MDB","22/01/2018",4509
"383","MDB","22/02/2018",5622
"384","MDB","22/03/2018",2612
"385","MDB","22/05/2018",4595
"386","MDB","22/06/2018",3561
"387","MDB","22/08/2018",4921
"388","MDB","22/09/2018",3815
"389","MDB","22/10/2018",4626
"390","MDB","22/11/2018",1297
"391","MDB","23/01/2018",2766
"392","MDB","23/02/2018",5605
"393","MDB","23/03/2018",7507
"394","MDB","23/04/2018",5326
"395","MDB","23/05/2018",2630
"396","MDB","23/06/2018",574
"397","MDB","23/07/2018",2492
"398","MDB","23/08/2018",7738
"399","MDB","23/09/2018",3111
"400","MDB","23/10/2018",2483
"401","MDB","23/11/2018",3149
"402","MDB","24/01/2018",933
"403","MDB","24/02/2018",1015
"404","MDB","24/05/2018",10692
"405","MDB","24/06/2018",823
"406","MDB","24/07/2018",10571
"407","MDB","24/08/2018",12580
"408","MDB","24/09/2018",5466
"409","MDB","24/10/2018",4628
"410","MDB","24/12/2018",2114
"411","MDB","25/01/2018",3967
"412","MDB","25/04/2018",3413
"413","MDB","25/05/2018",3807
"414","MDB","25/06/2018",8892
"415","MDB","25/07/2018",16139
"416","MDB","25/09/2018",9859
"417","MDB","25/10/2018",4774
"418","MDB","26/01/2018",116
"419","MDB","26/03/2018",5383
"420","MDB","26/04/2018",7810
"421","MDB","26/06/2018",1833
"422","MDB","26/07/2018",3071
"423","MDB","26/09/2018",2309
"424","MDB","26/10/2018",9021
"425","MDB","26/11/2018",8400
"426","MDB","26/12/2018",4021
"427","MDB","27/02/2018",10614
"428","MDB","27/03/2018",2404
"429","MDB","27/04/2018",4493
"430","MDB","27/06/2018",1384
"431","MDB","27/07/2018",13298
"432","MDB","27/08/2018",6082
"433","MDB","27/11/2018",3988
"434","MDB","27/12/2018",186
"435","MDB","28/02/2018",16618
"436","MDB","28/03/2018",4565
"437","MDB","28/04/2018",2354
"438","MDB","28/05/2018",4737
"439","MDB","28/06/2018",13169
"440","MDB","28/08/2018",11865
"441","MDB","28/09/2018",3598
"442","MDB","28/11/2018",5784
"443","MDB","28/12/2018",8122
"444","MDB","29/01/2018",4250
"445","MDB","29/03/2018",13483
"446","MDB","29/05/2018",13517
"447","MDB","29/06/2018",6461
"448","MDB","29/08/2018",6063
"449","MDB","29/09/2018",2280
"450","MDB","29/10/2018",11225
"451","MDB","29/11/2018",6270
"452","MDB","30/01/2018",2332
"453","MDB","30/04/2018",35067
"454","MDB","30/05/2018",2659
"455","MDB","30/06/2018",14726
"456","MDB","30/07/2018",2940
"457","MDB","30/08/2018",15605
"458","MDB","30/09/2018",15741
"459","MDB","30/10/2018",12863
"460","MDB","30/11/2018",38298
"461","MDB","31/01/2018",31695
"462","MDB","31/03/2018",18493
"463","MDB","31/05/2018",11171
"464","MDB","31/07/2018",30992
"465","MDB","31/08/2018",16463
"466","MDB","31/10/2018",13432
"467","MDB","31/12/2017",44703
"468","MDB","31/12/2018",6418
"469","NOVO","01/08/2018",33
"470","NOVO","02/08/2018",2135
"471","NOVO","04/06/2018",1794
"472","NOVO","04/08/2018",897
"473","NOVO","04/09/2018",1048
"474","NOVO","05/01/2018",580
"475","NOVO","05/02/2018",580
"476","NOVO","05/03/2018",580
"477","NOVO","05/05/2018",580
"478","NOVO","06/07/2018",600
"479","NOVO","06/08/2018",580
"480","NOVO","06/09/2018",602
"481","NOVO","06/11/2018",897
"482","NOVO","07/08/2018",22
"483","NOVO","07/11/2018",22
